[Sun May 07 20:30:40.213956 2023] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.54 (Debian) PHP/8.2.3 configured -- resuming normal operations
[Sun May 07 20:30:40.214934 2023] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Sun May 07 20:47:10.787531 2023] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue May 09 18:29:29.895556 2023] [php:warn] [pid 20] [client 172.18.0.1:53986] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:29:29.896164 2023] [php:warn] [pid 20] [client 172.18.0.1:53986] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:29:44.275213 2023] [php:error] [pid 19] [client 172.18.0.1:48330] PHP Fatal error:  Uncaught TypeError: Cannot access offset of type string on string in /var/www/html/Praktikum/Prak2/Bestellung.php:159\nStack trace:\n#0 /var/www/html/Praktikum/Prak2/Bestellung.php(183): Bestellung->processReceivedData()\n#1 /var/www/html/Praktikum/Prak2/Bestellung.php(194): Bestellung::main()\n#2 {main}\n  thrown in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:34:58.849807 2023] [php:warn] [pid 21] [client 172.18.0.1:42638] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:34:58.850639 2023] [php:warn] [pid 21] [client 172.18.0.1:42638] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:34:58.851873 2023] [php:warn] [pid 21] [client 172.18.0.1:42638] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:34:58.852589 2023] [php:warn] [pid 21] [client 172.18.0.1:42638] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:34:58.853251 2023] [php:warn] [pid 21] [client 172.18.0.1:42638] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:34:58.853720 2023] [php:warn] [pid 21] [client 172.18.0.1:42638] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:20.352945 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Uninitialized string offset 1 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:20.353584 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Uninitialized string offset 1 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:20.354406 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:20.354858 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:20.355517 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:20.356146 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:23.444387 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Uninitialized string offset 1 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:23.445110 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Uninitialized string offset 1 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:23.446089 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:23.446625 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:23.447072 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:23.447489 2023] [php:warn] [pid 18] [client 172.18.0.1:42628] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:34.682045 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:34.682703 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:34.683556 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:34.684013 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:34.684356 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:34.684690 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:39.425823 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:35:39.426556 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:35:39.427243 2023] [php:warn] [pid 23] [client 172.18.0.1:42640] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:35:57.115085 2023] [php:warn] [pid 17] [client 172.18.0.1:47572] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:57.115612 2023] [php:warn] [pid 17] [client 172.18.0.1:47572] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:57.115983 2023] [php:warn] [pid 17] [client 172.18.0.1:47572] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:57.116726 2023] [php:warn] [pid 17] [client 172.18.0.1:47572] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:57.117276 2023] [php:warn] [pid 17] [client 172.18.0.1:47572] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:57.117629 2023] [php:warn] [pid 17] [client 172.18.0.1:47572] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:35:57.117962 2023] [php:warn] [pid 17] [client 172.18.0.1:47572] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:38:08.959839 2023] [php:warn] [pid 19] [client 172.18.0.1:36342] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:38:08.962141 2023] [php:warn] [pid 19] [client 172.18.0.1:36342] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Bestellung.php on line 187, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:38:13.836617 2023] [php:warn] [pid 19] [client 172.18.0.1:36342] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:38:13.837184 2023] [php:warn] [pid 19] [client 172.18.0.1:36342] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:38:13.837856 2023] [php:warn] [pid 19] [client 172.18.0.1:36342] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:38:25.654668 2023] [php:warn] [pid 22] [client 172.18.0.1:36326] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:38:25.655653 2023] [php:warn] [pid 22] [client 172.18.0.1:36326] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Bestellung.php on line 187, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:40:12.641592 2023] [php:warn] [pid 23] [client 172.18.0.1:51622] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:40:12.642144 2023] [php:warn] [pid 23] [client 172.18.0.1:51622] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:40:12.642499 2023] [php:warn] [pid 23] [client 172.18.0.1:51622] PHP Warning:  Uninitialized string offset 0 in /var/www/html/Praktikum/Prak2/Bestellung.php on line 159, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:40:12.643201 2023] [php:warn] [pid 23] [client 172.18.0.1:51622] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:159) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:40:12.643820 2023] [php:warn] [pid 23] [client 172.18.0.1:51622] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:40:12.644308 2023] [php:warn] [pid 23] [client 172.18.0.1:51622] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:40:12.644629 2023] [php:warn] [pid 23] [client 172.18.0.1:51622] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:15.462468 2023] [php:warn] [pid 19] [client 172.18.0.1:59956] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:15.463256 2023] [php:warn] [pid 19] [client 172.18.0.1:59956] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:15.463906 2023] [php:warn] [pid 19] [client 172.18.0.1:59956] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:24.631083 2023] [php:warn] [pid 22] [client 172.18.0.1:59954] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:24.631763 2023] [php:warn] [pid 22] [client 172.18.0.1:59954] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:24.632360 2023] [php:warn] [pid 22] [client 172.18.0.1:59954] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:43.280263 2023] [php:warn] [pid 21] [client 172.18.0.1:59968] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:43.280826 2023] [php:warn] [pid 21] [client 172.18.0.1:59968] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:43:43.281328 2023] [php:warn] [pid 21] [client 172.18.0.1:59968] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:44:05.251676 2023] [php:warn] [pid 18] [client 172.18.0.1:37352] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:44:05.252314 2023] [php:warn] [pid 18] [client 172.18.0.1:37352] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:44:05.252982 2023] [php:warn] [pid 18] [client 172.18.0.1:37352] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:44:15.229122 2023] [php:warn] [pid 23] [client 172.18.0.1:54030] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:44:15.229584 2023] [php:warn] [pid 23] [client 172.18.0.1:54030] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:44:15.229959 2023] [php:warn] [pid 23] [client 172.18.0.1:54030] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:47:02.645096 2023] [php:error] [pid 20] [client 172.18.0.1:49410] PHP Fatal error:  Uncaught TypeError: mysqli::real_escape_string(): Argument #1 ($string) must be of type string, array given in /var/www/html/Praktikum/Prak2/Bestellung.php:154\nStack trace:\n#0 /var/www/html/Praktikum/Prak2/Bestellung.php(154): mysqli->real_escape_string(Array)\n#1 /var/www/html/Praktikum/Prak2/Bestellung.php(189): Bestellung->processReceivedData()\n#2 /var/www/html/Praktikum/Prak2/Bestellung.php(200): Bestellung::main()\n#3 {main}\n  thrown in /var/www/html/Praktikum/Prak2/Bestellung.php on line 154, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:48:06.827172 2023] [php:warn] [pid 21] [client 172.18.0.1:47992] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:48:06.827764 2023] [php:warn] [pid 21] [client 172.18.0.1:47992] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:48:06.828327 2023] [php:warn] [pid 21] [client 172.18.0.1:47992] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:48:11.518157 2023] [php:warn] [pid 21] [client 172.18.0.1:47992] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:48:11.518650 2023] [php:warn] [pid 21] [client 172.18.0.1:47992] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:48:11.519023 2023] [php:warn] [pid 21] [client 172.18.0.1:47992] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:49:43.991887 2023] [php:warn] [pid 17] [client 172.18.0.1:46296] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:154) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:49:43.992621 2023] [php:warn] [pid 17] [client 172.18.0.1:46296] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:49:43.993259 2023] [php:warn] [pid 17] [client 172.18.0.1:46296] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:49:43.993739 2023] [php:warn] [pid 17] [client 172.18.0.1:46296] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:50:48.925586 2023] [php:warn] [pid 22] [client 172.18.0.1:43878] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:154) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:50:48.926334 2023] [php:warn] [pid 22] [client 172.18.0.1:43878] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:50:48.926766 2023] [php:warn] [pid 22] [client 172.18.0.1:43878] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:50:48.927100 2023] [php:warn] [pid 22] [client 172.18.0.1:43878] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:55:12.406109 2023] [php:warn] [pid 18] [client 172.18.0.1:58120] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:154) in /var/www/html/Praktikum/Prak2/Bestellung.php on line 190, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:55:18.867272 2023] [php:warn] [pid 17] [client 172.18.0.1:58122] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:154) in /var/www/html/Praktikum/Prak2/Bestellung.php on line 190, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:55:37.973814 2023] [php:warn] [pid 20] [client 172.18.0.1:58136] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:55:37.974434 2023] [php:warn] [pid 20] [client 172.18.0.1:58136] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:55:37.975128 2023] [php:warn] [pid 20] [client 172.18.0.1:58136] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/
[Tue May 09 18:55:45.121599 2023] [php:warn] [pid 19] [client 172.18.0.1:41748] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:154) in /var/www/html/Praktikum/Prak2/Bestellung.php on line 190, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:58:11.197186 2023] [php:warn] [pid 21] [client 172.18.0.1:53280] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/Praktikum/Prak2/Bestellung.php:154) in /var/www/html/Praktikum/Prak2/Page.php on line 91, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:58:11.197927 2023] [php:warn] [pid 21] [client 172.18.0.1:53280] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
[Tue May 09 18:58:11.198439 2023] [php:warn] [pid 21] [client 172.18.0.1:53280] PHP Warning:  Undefined array key "id" in /var/www/html/Praktikum/Prak2/Bestellung.php on line 109, referer: http://localhost/Praktikum/Prak2/Bestellung.php
